"Date","TV","Radio","Newspaper","Sales"
"1/1/2015","230.1","37.8","69.2","22.1"
"1/8/2015","44.5","39.3","45.1","10.4"
"1/15/2015","17.2","45.9","69.3","9.3"
"1/22/2015","151.5","41.3","58.5","18.5"
"1/29/2015","180.8","10.8","58.4","12.9"
"2/5/2015","8.7","48.9","75","7.2"
"2/12/2015","57.5","32.8","23.5","11.8"
"2/19/2015","120.2","19.6","11.6","13.2"
"2/26/2015","8.6","2.1","1","4.8"
"3/5/2015","199.8","2.6","21.2","10.6"
"3/12/2015","66.1","5.8","24.2","8.6"
"3/19/2015","214.7","24","4","17.4"
"3/26/2015","23.8","35.1","65.9","9.2"
"4/2/2015","97.5","7.6","7.2","9.7"
"4/9/2015","204.1","32.9","46","19"
"4/16/2015","195.4","47.7","52.9","22.4"
"4/23/2015","67.8","36.6","114","12.5"
"4/30/2015","281.4","39.6","55.8","24.4"
"5/7/2015","69.2","20.5","18.3","11.3"
"5/14/2015","147.3","23.9","19.1","14.6"
"5/21/2015","218.4","27.7","53.4","18"
"5/28/2015","237.4","5.1","23.5","12.5"
"6/4/2015","13.2","15.9","49.6","5.6"
"6/11/2015","228.3","16.9","26.2","15.5"
"6/18/2015","62.3","12.6","18.3","9.7"
"6/25/2015","262.9","3.5","19.5","12"
"7/2/2015","142.9","29.3","12.6","15"
"7/9/2015","240.1","16.7","22.9","15.9"
"7/16/2015","248.8","27.1","22.9","18.9"
"7/23/2015","70.6","16","40.8","10.5"
"7/30/2015","292.9","28.3","43.2","21.4"
"8/6/2015","112.9","17.4","38.6","11.9"
"8/13/2015","97.2","1.5","30","9.6"
"8/20/2015","265.6","20","0.3","17.4"
"8/27/2015","95.7","1.4","7.4","9.5"
"9/3/2015","290.7","4.1","8.5","12.8"
"9/10/2015","266.9","43.8","5","25.4"
"9/17/2015","74.7","49.4","45.7","14.7"
"9/24/2015","43.1","26.7","35.1","10.1"
"10/1/2015","228","37.7","32","21.5"
